time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-30 00:00:00+00:00,0,0,9,1
2024-05-01 00:00:00+00:00,9,2,87,1
2024-05-02 00:00:00+00:00,1,1,0,0
2024-05-03 00:00:00+00:00,1,1,0,0
2024-05-04 00:00:00+00:00,10,10,14,1
2024-05-05 00:00:00+00:00,6,3,0,0
2024-05-06 00:00:00+00:00,2,2,0,0
2024-05-07 00:00:00+00:00,1,1,0,0
2024-05-08 00:00:00+00:00,5,2,0,0
2024-05-09 00:00:00+00:00,1,1,8,1
2024-05-10 00:00:00+00:00,7,4,0,0
2024-05-11 00:00:00+00:00,1,1,0,0
2024-05-12 00:00:00+00:00,1,1,0,0
2024-05-13 00:00:00+00:00,5,2,0,0
2024-05-14 00:00:00+00:00,1,1,0,0
2024-05-15 00:00:00+00:00,5,2,0,0
2024-05-16 00:00:00+00:00,1,1,0,0
2024-05-17 00:00:00+00:00,0,0,1,1
